totalHandlingTime, ServerName, requestNum, timeFinishedCalc, numToCalc, timeRequestReceived, timeStartedCalc, 
0.000502825, server4,64651,1537713825,44557,1537713825,1537713825, 
0.000544071, server0,64837,1537713825,83128,1537713825,1537713825, 
0.000282049, server0,64861,1537713826,79414,1537713826,1537713826, 
0.000655174, server2,64468,1537713826,30737,1537713826,1537713826, 
0.000156879, server0,64911,1537713826,10874,1537713826,1537713826, 
0.000501156, server1,64589,1537713827,96581,1537713827,1537713827, 
0.000420094, server4,64780,1537713827,76405,1537713827,1537713827, 
0.000354052, server0,64976,1537713828,46731,1537713828,1537713828, 
0.00062108, server0,64997,1537713828,46907,1537713828,1537713828, 
0.000324011, server4,64846,1537713828,89767,1537713828,1537713828, 
0.000638962, server1,64685,1537713828,63589,1537713828,1537713828, 
0.000240088, server1,64706,1537713829,83898,1537713829,1537713829, 
0.000922203, server4,64898,1537713829,29951,1537713829,1537713829, 
0.000427008, server4,64913,1537713829,73343,1537713829,1537713829, 
0.000401974, server3,64302,1537713830,69826,1537713830,1537713830, 
0.000448942, server4,64945,1537713830,21897,1537713830,1537713830, 
0.000308037, server1,64791,1537713830,29634,1537713830,1537713830, 
0.000320911, server1,64807,1537713830,14362,1537713830,1537713830, 
0.000277996, server1,64822,1537713831,13340,1537713831,1537713831, 
0.000323057, server1,64852,1537713831,60065,1537713831,1537713831, 
0.000196934, server4,65042,1537713832,47765,1537713832,1537713832, 
0.001112938, server4,65068,1537713832,59980,1537713832,1537713832, 
0.000349045, server2,64845,1537713833,21369,1537713833,1537713833, 
0.00046587, server0,65285,1537713833,56985,1537713833,1537713833, 
0.00039196, server0,65301,1537713834,71093,1537713834,1537713834, 
0.000334024, server3,64521,1537713834,61092,1537713834,1537713834, 
0.000231028, server4,65176,1537713834,43355,1537713834,1537713834, 
0.000244856, server0,65362,1537713835,12772,1537713835,1537713835, 
0.00052309, server4,65208,1537713835,35160,1537713835,1537713835, 
0.000421047, server0,65401,1537713835,64146,1537713835,1537713835, 
0.000305891, server2,65000,1537713836,15610,1537713836,1537713836, 
0.000458002, server0,65444,1537713836,46411,1537713836,1537713836, 
0.000549078, server3,64658,1537713836,64979,1537713836,1537713836, 
0.000169992, server2,65057,1537713837,88691,1537713837,1537713837, 
0.000538111, server2,65067,1537713837,71623,1537713837,1537713837, 
0.000256062, server0,65500,1537713837,24162,1537713837,1537713837, 
0.000277042, server0,65522,1537713837,70672,1537713837,1537713837, 
0.000235081, server4,65375,1537713838,76940,1537713838,1537713838, 
0.000185013, server1,65231,1537713838,32172,1537713838,1537713838, 
0.000607967, server3,64801,1537713839,65649,1537713839,1537713839, 
0.000893831, server4,65452,1537713839,96992,1537713839,1537713839, 
0.000330925, server2,65227,1537713839,21252,1537713839,1537713839, 
0.001183987, server0,65665,1537713840,37651,1537713840,1537713840, 
0.000277996, server2,65262,1537713840,11914,1537713840,1537713840, 
0.000263929, server3,64904,1537713840,29222,1537713840,1537713840, 
0.000375032, server2,65307,1537713841,51262,1537713841,1537713841, 
0.000292063, server0,65746,1537713842,98303,1537713842,1537713842, 
0.00030899, server3,64964,1537713842,97081,1537713842,1537713842, 
0.000932932, server0,65778,1537713842,42934,1537713842,1537713842, 
0.000277996, server2,65375,1537713842,84291,1537713842,1537713842, 
0.000605106, server1,65472,1537713843,49365,1537713843,1537713843, 
0.000604868, server3,65033,1537713843,74539,1537713843,1537713843, 
0.000288963, server1,65509,1537713843,47762,1537713843,1537713843, 
0.000370979, server2,65454,1537713844,64746,1537713844,1537713844, 
0.000341892, server4,65730,1537713844,91819,1537713844,1537713844, 
0.00030303, server1,65586,1537713845,25061,1537713845,1537713845, 
0.000298977, server2,65534,1537713845,78098,1537713845,1537713845, 
0.000340939, server4,65815,1537713846,35686,1537713846,1537713846, 
0.000319004, server3,65208,1537713846,92827,1537713846,1537713846, 
0.000280857, server0,66034,1537713847,63377,1537713847,1537713847, 
0.000437975, server2,65637,1537713847,56724,1537713847,1537713847, 
0.000384092, server1,65728,1537713847,56491,1537713847,1537713847, 
0.000360012, server4,65918,1537713847,43374,1537713847,1537713847, 
0.000549078, server1,65764,1537713848,20706,1537713848,1537713848, 
0.000228882, server1,65787,1537713848,66875,1537713848,1537713848, 
0.000296831, server1,65809,1537713849,55777,1537713849,1537713849, 
0.000375986, server3,65374,1537713849,64711,1537713849,1537713849, 
0.000306129, server3,65392,1537713849,16694,1537713849,1537713849, 
0.000360012, server0,66215,1537713850,58873,1537713850,1537713850, 
0.000281811, server1,65896,1537713850,24439,1537713850,1537713850, 
0.003272057, server4,66098,1537713851,74764,1537713851,1537713851, 
0.000228167, server4,66123,1537713851,30971,1537713851,1537713851, 
0.000363111, server1,65971,1537713851,63098,1537713851,1537713851, 
0.000175953, server0,66340,1537713852,39990,1537713852,1537713852, 
0.00048089, server3,65561,1537713853,41798,1537713853,1537713853, 
0.001671076, server1,66039,1537713853,56166,1537713853,1537713853, 
0.000242949, server0,66405,1537713853,56888,1537713853,1537713853, 
0.000294924, server1,66077,1537713854,32907,1537713854,1537713854, 
0.000314951, server3,65639,1537713854,79453,1537713854,1537713854, 
0.000301838, server0,66457,1537713854,15291,1537713854,1537713854, 
0.000901937, server0,66474,1537713855,84594,1537713855,1537713855, 
0.000281811, server4,66324,1537713855,99271,1537713855,1537713855, 
0.000380039, server4,66342,1537713855,82001,1537713855,1537713855, 
0.000308037, server4,66365,1537713856,47506,1537713856,1537713856, 
0.000257969, server0,66554,1537713856,57568,1537713856,1537713856, 
0.000552893, server4,66399,1537713856,86471,1537713856,1537713856, 
0.000340939, server4,66423,1537713857,35834,1537713857,1537713857, 
0.002238035, server0,66615,1537713857,28482,1537713857,1537713857, 
0.000231981, server2,66211,1537713857,99268,1537713857,1537713857, 
0.000520945, server2,66231,1537713858,35251,1537713858,1537713858, 
0.00099802, server3,65867,1537713858,90961,1537713858,1537713858, 
